INSERT INTO User VALUES ('hunky', 'hunky', DATETIME('NOW'));
INSERT INTO User VALUES ('jayjay', 'jayjay', DATETIME('NOW'));
INSERT INTO User VALUES ('ari', 'ari', DATETIME('NOW'));
INSERT INTO User VALUES ('kal', 'kal', DATETIME('NOW'));
INSERT INTO User VALUES ('quick', 'quick', DATETIME('NOW'));
INSERT INTO User VALUES ('sipo', 'sipo', DATETIME('NOW'));
INSERT INTO User VALUES ('pang', 'pang', DATETIME('NOW'));
INSERT INTO User VALUES ('mathew', 'mathew', DATETIME('NOW'));
INSERT INTO User VALUES ('ellan', 'ellan', DATETIME('NOW'));
INSERT INTO User VALUES ('pooh', 'pooh', DATETIME('NOW'));
INSERT INTO User VALUES ('rouka', 'rouka', DATETIME('NOW'));
